Report Refresh Date,User Principal Name,Display Name,User State,State Change Date,Last Activity Date,Used Web,Used Windows Phone,Used Android Phone,Used iPhone,Used iPad,Used Others,Report Period
2026-06-03,Eric.Bailey@contoso.com,"Bailey, Eric",active,2026-06-02,,No,No,No,No,No,No,180
2026-06-03,Donald.Sanders@contoso.com,"Sanders, Donald",active,2024-09-19,2026-05-29,Yes,No,No,No,No,Yes,180
2026-06-03,Barbara.Mendoza@contoso.com,"Mendoza, Barbara",active,2022-11-24,2026-04-21,Yes,No,No,No,No,Yes,180
2026-06-03,Joyce.Allen@contoso.com,"ALLEN, Joyce",active,2025-09-10,2026-01-19,No,No,No,No,No,Yes,180
2026-06-03,Betty.Ross@contoso.com,"ROSS, BETTY",active,2023-05-04,2026-05-05,Yes,No,No,No,No,Yes,180
2026-06-03,Douglas.Ramirez@contoso.com,"RAMIREZ, DOUGLAS",active,2025-07-08,2026-03-19,Yes,No,No,No,No,No,180
2026-06-03,Keith.Flores@contoso.com,"FLORES, KEITH",active,2023-05-04,2026-05-29,Yes,No,Yes,No,No,Yes,180
2026-06-03,John.Vasquez@contoso.com,"VASQUEZ, JOHN",active,2025-07-23,2026-06-02,No,No,Yes,No,No,No,180
2026-06-03,James.Hernandez@contoso.com,"HERNANDEZ, JAMES",active,2025-04-25,2026-06-03,Yes,No,No,No,No,Yes,180
2026-06-03,Raymond.Hernandez@contoso.com,"Hernandez, Raymond",active,2021-02-04,2026-06-03,Yes,No,No,No,No,Yes,180
2026-06-03,Steven.Gray@contoso.com,"GRAY, STEVEN",active,2023-05-04,2026-06-03,Yes,No,No,No,No,Yes,180
2026-06-03,Tyler.Thompson@contoso.com,"THOMPSON, TYLER",active,2023-09-23,2026-05-06,Yes,No,No,No,No,Yes,180
2026-06-03,Jeffrey.Garcia@contoso.com,"Garcia, Jeffrey",active,2023-12-15,,No,No,No,No,No,No,180
2026-06-03,Tyler.Barnes@contoso.com,"BARNES, TYLER",active,2021-10-20,2026-05-25,Yes,No,No,No,No,No,180
2026-06-03,Martha.Russell@contoso.com,"RUSSELL, MARTHA",active,2025-07-23,,No,No,No,No,No,No,180
2026-06-03,Karen.Collins@contoso.com,"Collins, Karen",active,2026-05-12,,No,No,No,No,No,No,180
2026-06-03,Keith.Williams@contoso.com,"Williams, Keith",active,2024-05-29,2026-06-02,Yes,No,No,No,No,Yes,180
2026-06-03,Janice.White@contoso.com,"White, Janice",active,2025-06-30,2026-06-01,Yes,No,No,No,No,Yes,180
2026-06-03,Austin.Wallace@contoso.com,"WALLACE, AUSTIN",active,2025-11-27,2026-06-03,Yes,No,No,No,No,Yes,180
2026-06-03,Mary.Moreno@contoso.com,"MORENO, MARY",active,2022-01-21,2026-05-08,Yes,No,Yes,No,No,Yes,180
2026-06-03,Megan.Ruiz@contoso.com,"RUIZ, MEGAN",active,2026-01-13,,No,No,No,No,No,No,180
2026-06-03,Noah.Collins@contoso.com,"Collins, Noah",active,2023-05-05,2026-05-26,No,No,No,No,No,Yes,180
2026-06-03,Sharon.Ramos@contoso.com,"RAMOS, SHARON",active,2026-01-13,2026-05-27,Yes,No,No,No,No,No,180
2026-06-03,Daniel.Ramirez@contoso.com,"Ramirez, Daniel",active,2023-05-05,,No,No,No,No,No,No,180
2026-06-03,Karen.Long@contoso.com,"LONG, KAREN",active,2025-04-07,2026-06-01,Yes,No,No,No,No,Yes,180
2026-06-03,Andrew.Williams@contoso.com,"Williams, Andrew",active,2023-05-05,2026-05-29,No,No,No,No,No,Yes,180
2026-06-03,Kyle.Gray@contoso.com,"GRAY, KYLE",active,2023-07-28,2026-05-29,Yes,No,No,No,No,Yes,180
2026-06-03,Laura.Reed@contoso.com,"REED, LAURA",active,2025-07-23,,No,No,No,No,No,No,180
2026-06-03,Noah.James@contoso.com,"James, Noah",active,2025-10-30,2026-05-25,Yes,No,No,No,No,Yes,180
2026-06-03,Joseph.King@contoso.com,"KING, JOSEPH",active,2021-11-11,2026-05-29,Yes,No,No,No,No,Yes,180
2026-06-03,Walter.Patel@contoso.com,"PATEL, WALTER",active,2026-06-01,,No,No,No,No,No,No,180
2026-06-03,Alexander.Martin@contoso.com,"Martin, Alexander",active,2023-09-21,2026-06-03,Yes,No,No,No,No,Yes,180
2026-06-03,Donald.Herrera@contoso.com,"Herrera, Donald",active,2023-09-21,2026-05-15,Yes,No,No,No,No,Yes,180
